Category,Llama_Size,USA,China,India,Iran,Kenya,Greece
Overall,7,0.68,0.72,0.52,0.67,0.79,0.75
Overall,13,0.73,0.71,0.72,0.72,0.78,0.62
Overall,70,0.6,0.61,0.76,0.65,0.7,0.69
beverage,7,0.61,0.47,0.34,0.44,0.76,0.74
beverage,13,0.66,0.43,0.53,0.64,0.68,0.58
beverage,70,0.56,0.31,0.67,0.4,0.5,0.63
female_clothing,7,0.65,0.83,0.37,0.83,0.85,0.77
female_clothing,13,0.68,0.81,0.62,0.83,0.78,0.57
female_clothing,70,0.6,0.69,0.58,0.81,0.79,0.69
female_names,7,0.92,0.98,0.8,0.78,0.96,0.93
female_names,13,0.98,0.99,0.93,0.94,0.97,0.77
female_names,70,0.89,0.87,0.97,0.82,0.92,0.85
food,7,0.52,0.58,0.3,0.34,0.8,0.35
food,13,0.47,0.46,0.63,0.33,0.8,0.22
food,70,0.32,0.4,0.76,0.32,0.69,0.28
literature,7,0.26,0.37,0.23,0.52,0.41,0.6
literature,13,0.4,0.49,0.38,0.39,0.42,0.56
literature,70,0.21,0.33,0.45,0.2,0.34,0.65
location,7,0.8,0.94,0.6,0.66,0.94,0.93
location,13,0.94,0.93,0.83,0.75,0.97,0.74
location,70,0.81,0.88,0.76,0.72,0.84,0.81
male_clothing,7,0.74,0.65,0.59,0.81,0.8,0.81
male_clothing,13,0.78,0.55,0.82,0.83,0.78,0.6
male_clothing,70,0.58,0.54,0.85,0.86,0.75,0.74
male_names,7,0.95,0.94,0.78,0.85,0.93,0.91
male_names,13,0.99,0.99,0.93,0.88,0.93,0.87
male_names,70,0.94,0.85,0.97,0.85,0.93,0.87
religion,7,0.69,0.71,0.63,0.76,0.63,0.71
religion,13,0.63,0.65,0.78,0.78,0.67,0.62
religion,70,0.51,0.55,0.81,0.72,0.53,0.66
