Category,Llama_Size,USA,China,India,Iran,Kenya,Greece
Overall,7,0.08,0.39,0.18,0.26,0.16,0.14
Overall,13,0.08,0.39,0.18,0.26,0.16,0.14
Overall,70,0.08,0.39,0.18,0.26,0.16,0.14
beverage,7,0.03,0.44,0.16,0.34,0.1,0.09
beverage,13,0.03,0.44,0.16,0.34,0.1,0.09
beverage,70,0.03,0.44,0.16,0.34,0.1,0.09
female_clothing,7,0.09,0.24,0.42,0.08,0.12,0.13
female_clothing,13,0.09,0.24,0.42,0.08,0.12,0.13
female_clothing,70,0.09,0.24,0.42,0.08,0.12,0.13
female_names,7,0.05,0.5,0.21,0.28,0.19,0.18
female_names,13,0.05,0.5,0.21,0.28,0.19,0.18
female_names,70,0.05,0.5,0.21,0.28,0.19,0.18
food,7,0.06,0.28,0.06,0.47,0.04,0.23
food,13,0.06,0.28,0.06,0.47,0.04,0.23
food,70,0.06,0.28,0.06,0.47,0.04,0.23
literature,7,0.1,0.29,0.1,0.34,0.17,0.07
literature,13,0.1,0.29,0.1,0.34,0.17,0.07
literature,70,0.1,0.29,0.1,0.34,0.17,0.07
location,7,0.09,0.28,0.27,0.39,0.13,0.17
location,13,0.09,0.28,0.27,0.39,0.13,0.17
location,70,0.09,0.28,0.27,0.39,0.13,0.17
male_clothing,7,0.08,0.62,0.11,0.06,0.17,0.11
male_clothing,13,0.08,0.62,0.11,0.06,0.17,0.11
male_clothing,70,0.08,0.62,0.11,0.06,0.17,0.11
male_names,7,0.02,0.53,0.22,0.26,0.3,0.2
male_names,13,0.02,0.53,0.22,0.26,0.3,0.2
male_names,70,0.02,0.53,0.22,0.26,0.3,0.2
religion,7,0.16,0.41,0.09,0.11,0.24,0.11
religion,13,0.16,0.41,0.09,0.11,0.24,0.11
religion,70,0.16,0.41,0.09,0.11,0.24,0.11
