key,US,China,India,Iran,Kenya,Greece,lang,llama_size,mode,model_name
chinese_6_country_yi,0.3793103448275862,0.39285714285714285,0.45454545454545453,0.3448275862068966,0.25,0.3125,chinese,6,country,yi
chinese_34_country_yi,0.5517241379310345,0.5357142857142857,0.5454545454545454,0.4482758620689655,0.4375,0.53125,chinese,34,country,yi
english_6_country_yi,0.5172413793103449,0.42857142857142855,0.3333333333333333,0.4827586206896552,0.5,0.34375,english,6,country,yi
english_34_country_yi,0.6206896551724138,0.39285714285714285,0.42424242424242425,0.4482758620689655,0.5,0.4375,english,34,country,yi
