key,US,China,India,Iran,Kenya,Greece,lang,llama_size,mode,model_name
chinese_6_no_country_yi,0.3103448275862069,0.35714285714285715,0.45454545454545453,0.27586206896551724,0.25,0.28125,chinese,6,no_country,yi
chinese_34_no_country_yi,0.4482758620689655,0.39285714285714285,0.45454545454545453,0.41379310344827586,0.40625,0.59375,chinese,34,no_country,yi
english_6_no_country_yi,0.41379310344827586,0.35714285714285715,0.30303030303030304,0.5517241379310345,0.5,0.40625,english,6,no_country,yi
english_34_no_country_yi,0.5172413793103449,0.2857142857142857,0.3333333333333333,0.4482758620689655,0.5,0.40625,english,34,no_country,yi
